KEY_lang,English,Vietnamese,Russian,Spanish,French,Japanese,Korean,Thai,Arabic,Chinese,Portuguese,German,Italian,Indonesian,Turkish,
"lb_task","Tasks","Nhiệm vụ","Задачи","Tareas","les tâches","タスク","작업","งาน","مﺎﻬﻣ","任務","Tarefas","Aufgaben","Compiti","Tugas","Görevler",
"lb_shop","Shop","Cửa hàng","Магазин","Tienda","Magasin","ショップ","가게","ร้านขายของ","ﺮﺠﺘﻣ","店","fazer compras","Geschäft","Negozio","Toko","Dükkan",
"lb_levesl","Levels","Cấp độ","Уровни","Niveles","Les niveaux","レベル","레벨","ระดับ","تﺎﻳﻮﺘﺴﻣ","等級","Níveis","Ebenen","livelli","Tingkat","Seviyeleri",
"lb_play","Play","Chơi","Играть","Jugar","Jouer","遊びます","놀이","เล่น","ﺐﻌﻟ","玩","Toque","abspielen","Giocare","Bermain","Oyna",
"lb_level","Level","Cấp độ","уровень","Nivel","Niveau","レベル","수평","ชั้น","ىﻮﺘﺴﻣ","水平","Nível","Niveau","Livello","Tingkat","seviye",
"lb_input_holder","Enter text ...","Nhập đáp án ...","Введите ответ ...","Ingrese texto ...","Entrez du texte ...","テキストを入力してください...","텍스트 입력 ...","ป้อนข้อความ ...","... ﺺﻨﻟا ﻞﺧدأ","輸入文字...","Inserir texto ...","Text eingeben ...","Inserire il testo ...","Masukkan teks ...","Metin gir ...",
"ques_level_1","Find the Longest one","Tìm cái dài nhất","Найдите самый длинный","Encuentra el más largo","Trouvez le plus long","最も長いものを見つける","가장 긴 것을 찾으십시오","ค้นหาที่ยาวที่สุด","ﺪﺣاو لﻮﻃأ ﯽﻠﻋ رﻮﺜﻌﻟا","找到最長的一個","Encontre o mais longo","Finde den Längsten","Trova il più lungo","Temukan yang terpanjang","En Uzununu Bul",
"hint_level_1","is Bridge","Là cái cầu","Это мост","es puente","est pont","ブリッジです","다리입니다","คือสะพาน","ﺮﺴﺠﻟا ﻮﻫ","是橋","é ponte","ist Brücke","è Bridge","adalah Bridge","Köprü",
"tips_level_1","Good Works!","Tốt tốt !","Хорошая работа!\n","¡Buen trabajo!","Bon travail!","良い仕事！","좋은 일!","ผลงานที่ดี!","!ةﺪﻴﺟ لﺎﻤﻋأ","幹得好！","Bom trabalho!","Gute Werke!","Buon lavoro!","Kerja bagus!","İyi işler!",
"ques_level_2","Find the biggest number","Số nào lớn nhất","Найдите самое большое число","Encuentra el mayor número","Trouvez le plus grand nombre","最大数を見つける","가장 큰 숫자 찾기","ค้นหาจำนวนมากที่สุด","دﺪﻋ ﺮﺒﻛأ ﯽﻠﻋ رﻮﺜﻌﻟا","找到最大的數字","Encontre o maior número","Finde die größte Zahl","Trova il numero più grande","Temukan angka terbesar","En büyük sayıyı bul",
"hint_level_2","The largest number is the largest sized number!","Số lớn nhất là số có kích thước to nhất!","Самое большое число - самое большое размерное число!\n","¡El número más grande es el número de mayor tamaño!\n","Le plus grand pourrait être la plus grande taille","大きな数字は大きなサイズの数字です！","가장 큰 크기는 가장 큰 크기 일 수 있습니다","ขนาดที่ใหญ่ที่สุดอาจเป็นขนาดที่ใหญ่ที่สุด","ﻢﺠﺣ ﺮﺒﻛأ نﻮﻜﻳ نأ ﻦﻜﻤﻳ ﺮﺒﻛأ","最大的可能是最大的尺寸","O maior pode ser o maior tamanho","Das größte könnte die größte Größe sein","La più grande potrebbe essere la dimensione più grande","Yang terbesar bisa menjadi yang terbesar","En büyük en büyük boy olabilir",
"tips_level_2","The largest number is the largest sized number!","Số lớn nhất là số có kích thước to nhất!","Самый большой может быть самым большим размером","El más grande podría ser el tamaño más grande.","Le plus grand pourrait être la plus grande taille","大きな数字は大きなサイズの数字です！","가장 큰 크기는 가장 큰 크기 일 수 있습니다","ขนาดที่ใหญ่ที่สุดอาจเป็นขนาดที่ใหญ่ที่สุด","ﻢﺠﺣ ﺮﺒﻛأ نﻮﻜﻳ نأ ﻦﻜﻤﻳ ﺮﺒﻛأ","最大的可能是最大的尺寸","O maior pode ser o maior tamanho","Das größte könnte die größte Größe sein","La più grande potrebbe essere la dimensione più grande","Yang terbesar bisa menjadi yang terbesar","En büyük en büyük boy olabilir",
"ques_level_3","Find the slowest car","Tìm cái xe đi chậm nhất","Найди самую медленную машину","Encuentra el auto más lento","Trouvez la voiture la plus lente","最も遅い車を見つける","가장 느린 차 찾기","ค้นหารถที่ช้าที่สุด","ةرﺎﻴﺳ ﺄﻄﺑأ ﯽﻠﻋ رﻮﺜﻌﻟا","找到最慢的车","Encontre o carro mais lento","Finde das langsamste Auto","Trova l'auto più lenta","Temukan mobil paling lambat","En yavaş arabayı bulun",
"hint_level_3","Click on the car in question","Ấn vào chiếc xe trong câu hỏi","Нажмите на автомобиль, о котором идет речь\n","Haga clic en el auto en cuestión\n","Cliquez sur la voiture en question\n","問題の車をクリックします\n","문제의 차를 클릭하십시오","คลิกที่รถที่มีปัญหา","لاﺆﺴﻟا ﻲﻓ ةرﺎﻴﺴﻟا ﯽﻠﻋ ﺮﻘﻧا","点击有问题的汽车","Clique no carro em questão","Klicken Sie auf das betreffende Auto","Klicken Sie auf das betreffende Auto","Klik pada mobil yang dimaksud","Söz konusu arabayı tıklayın",
"tips_level_3","Not move is Slowest","Không di chuyển chắc chắn là chậm nhất","Не двигаться медленнее","No moverse es lo más lento","Ne pas bouger est le plus lent","動かないのが一番遅い","움직이지 않음","ดาวกี่ดวง","ﺄﻄﺑأ كﺮﺤﺗ ﻻ","不動是最慢的","Não mover é mais lento","Nicht bewegen ist am langsamsten","Non muoversi è più lento","Tidak bergerak itu paling lambat","Hareket etme En yavaş",
"ques_level_4","How many star","Đếm số ngôi sao","Сколько звезд","Cuantas estrellas","Combien d'étoile","いくつ星","얼마나 많은 별","ดาวกี่ดวง","ﻢﺠﻧ ﻢﻛ","多少顆星","Quantas estrelas","Wie viele Sterne","Quante stelle","Berapa banyak bintang","Kaç yıldız",
"hint_level_4","One of them is a starfish","Một trong số ngôi sao là con sao biển","Одним из них является морская звезда","Una de ellas es una estrella de mar","L'un d'eux est une étoile de mer","それらの1つはヒトデです","그들 중 하나는 불가사리입니다","หนึ่งในนั้นคือปลาดาว","ﺮﺤﺒﻟا ﻢﺠﻧ ﻮﻫ ﻢﻬﻨﻣ ﺪﺣاو","其中之一是海星","Uma delas é uma estrela do mar","Einer von ihnen ist ein Seestern","Uno di questi è una stella marina","Salah satunya adalah bintang laut","Bunlardan biri deniz yıldızı.",
"tips_level_4","Sweety!","Thật ngọt ngào!","Так мило!\n","¡Cariño!","Cherie!","甘い！","연인!","ลูกกวาด!","!ﺔﺒﻴﺒﺣ","甜！","Docinho!","Schätzchen!\n","Dolcemente!","Pacar!","Tatlım!",
"ques_level_5","Find one dog that is the most different from the rest","Tìm 1 con chó khác nhất so với các con còn lại","Найдите одну собаку, которая наиболее отличается от остальных\n","Encuentra un perro que sea el más diferente del resto","Trouvez un chien qui est le plus différent des autres","他の犬と最も異なる犬を1匹探します","나머지와 가장 다른 개를 찾으십시오\n","ค้นหาสุนัขหนึ่งตัวที่แตกต่างจากสุนัขที่เหลือ\n","ﺔﻴﻘﺑ ﻦﻋ ﺔﻔﻠﺘﺨﻣ ﺮﺜﻛﻷا ﻮﻫ ﺪﺣاو ﺐﻠﻛ ﯽﻠﻋ رﻮﺜﻌﻟا\n","寻找一只与其他狗最不同的狗\n","Encontre um cão que seja o mais diferente do resto\n","Finden Sie einen Hund, der sich am meisten von den anderen unterscheidet\n","Trova un cane che è il più diverso dal resto\n","Temukan satu anjing yang paling berbeda dari yang lain\n","Diğerlerinden farklı olan bir köpek bul\n",
"hint_level_5","You can move the dogs","Bạn có thể di chuyển được các chú chó","Вы можете перемещать собак","Puedes mover los perros","Vous pouvez déplacer les chiens","犬を動かすことができます","개를 움직일 수 있습니다","คุณสามารถย้ายสุนัข","بﻼﻜﻟا ﻚﻳﺮﺤﺗ ﻚﻨﻜﻤﻳ","你可以移动狗","Você pode mover os cães","Sie können die Hunde bewegen","Puoi spostare i cani","Anda bisa memindahkan anjing","Köpekleri hareket ettirebilirsin",
"tips_level_5","You are brilliant!","Bạn thật thông minh!","Вы великолепны!","¡Eres brillante!","Tu es brillant!","あなたは素晴らしいです！","당신은 훌륭합니다!","คุณยอดเยี่ยม!","!ﻊﺋار ﺖﻧأ","你真聰明！","Você é brilhante!","Du bist Brilliant!","Tu sei brillante!","Kamu brilian!","Sen harikasın!",
"ques_level_6","Create a rectangle!","Tạo một hình chữ nhật","Создайте прямоугольник!","¡Crea un rectángulo!","Créez un rectangle!","長方形を作成してください！","직사각형을 만드십시오!","สร้างสี่เหลี่ยมผืนผ้า!","!ﻞﻴﻄﺘﺴﻣ ءﺎﺸﻧإ","創建一個矩形！","Crie um retângulo!","Erstelle ein Rechteck!","Crea un rettangolo!","Buat persegi panjang!","Bir dikdörtgen oluşturun!",
"hint_level_6","Drag half of the square to the edge of the screen","Kéo 1 nửa hình vuông ra phía cạnh màn hình","Попробуйте перетащить квадрат мусор за пределы экрана","Intenta arrastrar el cuadrado un poco fuera de la pantalla","Essayez de faire glisser le carré un peu plus loin de l'écran","正方形を画面から少しずらしてみてください","정사각형 쓰레기를 화면 밖으로 드래그하십시오.","ลองลากสี่เหลี่ยมจัตุรัสออกจากหน้าจอ","ﺔﺷﺎﺸﻟا ﺔﻟﺎﺒﻗ ﻼﻴﻠﻗ ﻊﺑﺮﻣ ﺐﺤﺴﻟ ﺔﻟوﺎﺤﻣ","嘗試將正方形拖出屏幕","Tente arrastar o Square um pouco para fora da tela","Versuchen Sie, das Quadrat ein Stück vom Bildschirm zu ziehen","Prova a trascinare Square un po 'di rifiuti fuori dallo schermo","Cobalah untuk menyeret kotak sedikit dari layar","Kare'yi bir çöp biti ekranından sürüklemeye çalışın",
"tips_level_6","You very smartly!","Quá thông minh!","Вы очень шустро!","Usted muy inteligente!","Vous très intelligemment!","あなたはとても賢く！","당신은 매우 똑똑하게!","คุณฉลาดมาก!","!اﺪﺟ ءﺎﻛﺬﺑ ﺖﻧأ","你真聰明！","Você muito espertamente!","Sie sehr schlau!","Molto elegantemente!","Kamu sangat pintar!","Sen çok akıllıca!",
"ques_level_7","Find the darkest color on the screen!","Màu nào là màu tối nhất","Найдите самый темный цвет на экране!","¡Encuentra el color más oscuro en la pantalla!","Trouvez la couleur la plus sombre sur l'écran!","画面上で最も暗い色を見つけてください！","화면에서 가장 어두운 색을 찾으십시오!","ค้นหาสีที่มืดที่สุดบนหน้าจอ!","!ﺔﺷﺎﺸﻟا ﯽﻠﻋ نﻮﻠﻟا ﻚﻠﺣأ ﯽﻠﻋ رﻮﺜﻌﻟا","在屏幕上找到最暗的顏色！","Encontre a cor mais escura na tela!","Finde die dunkelste Farbe auf dem Bildschirm!","Trova il colore più scuro sullo schermo!","Temukan warna paling gelap di layar!","Ekrandaki en koyu rengi bulun!",
"hint_level_7","What's the color of texts?","Màu chữ của câu hỏi là màu gì vậy?","Какого цвета тексты?","¿De qué color son los textos?","Quelle est la couleur des textes?","テキストの色は何ですか？","텍스트의 색은 무엇입니까?","สีของข้อความคืออะไร?","؟صﻮﺼﻨﻟا نﻮﻟ ﻮﻫ ﺎﻣ","文字是什麼顏色？","Qual é a cor dos textos?","Was ist die Farbe von Texten?","Di che colore sono i testi?","Apa warna teksnya?","Metinlerin rengi nedir?",
"tips_level_7","Good Job!","Trả lời tốt lắm!","Отличная работа!","¡Buen trabajo!","Bon travail!","よくやった！","잘 했어!","ทำได้ดีมาก!","!ﺪﻴﺟ ﻞﻤﻋ","做得好！","Bom trabalho!","Gut gemacht!","Buon lavoro!","Kerja bagus!","Aferin!",
"ques_level_8","Click on three numbers whose sum is equal to ten","Tìm 3 số cộng với nhau bằng 10","Нажмите на три числа, сумма которых равна десяти\n","Haga clic en tres números que sumen diez","Cliquez sur trois chiffres qui totalisent dix","合計10個までの3つの数字をクリックします","최대 10 개까지 세 개의 숫자를 클릭하십시오","คลิกที่ตัวเลขสามตัวซึ่งรวมกันเป็นสิบ","ةﺮﺸﻋ ﯽﻟإ ﻞﺼﻳ ﺎﻣ ﻒﻴﻀﺗ مﺎﻗرأ ﺔﺛﻼﺛ ﯽﻠﻋ ﺮﻘﻧا","單擊三個數字，總共十個數字","Clique em três números que somam dez","Klicken Sie auf drei Zahlen, die zu zehn addieren","Fai clic su tre numeri che ne sommano fino a dieci","Klik pada tiga angka yang berjumlah hingga sepuluh","On'a kadar ekleyen üç sayıya tıklayın",
"hint_level_8","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","10 = 2 + 2 + 6","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10","6 + 2 + 2 = 10",
"tips_level_8","Easy!","Quá dễ!","Легко!","¡Fácil!","Facile!","簡単！","쉬운!","ง่าย!","!ﻞﻬﺳ","簡單！","Fácil!","Einfach!","Facile!","Mudah!","Kolay!",
"ques_level_9","Awakens the owl","Đánh thức con cú","Пробуждает сову","Despierta el búho","Réveille la chouette","フクロウを目覚めさせる","올빼미를 깨운다","ปลุกนกฮูกให้ตื่น","ﺔﻣﻮﺒﻟا ﻆﻗﻮﻳ","唤醒猫头鹰","Desperta a coruja","Erwecke die Eule","Risveglia il gufo","Membangkitkan burung hantu","Baykuşu uyandır",
"hint_level_9","Drag the sun out of screen","Kéo mặt trời ra khỏi màn hình","Вытащить солнце из экрана","Arrastra el sol fuera de la pantalla","Faites glisser le soleil hors de l'écran","画面から太陽をドラッグ","화면 밖으로 태양을 드래그","ลากดวงอาทิตย์ออกจากหน้าจอ","ﺔﺷﺎﺸﻟا ﻦﻣ ﺲﻤﺸﻟا ﺐﺤﺳا","將太陽拖出屏幕","Arraste o sol para fora da tela","Ziehen Sie die Sonne aus dem Bildschirm","Trascina il sole fuori dallo schermo","Seret matahari keluar dari layar","Güneşi ekrandan dışarı sürükleyin",
